hash_id,id,hn,sample_collection_date,date_of_submission,sex,species,submitted_sample,collect_method,vitek_id,bact_species,bact_genus,vet_read,vet_recommend,report_issued_date,filename,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,amikacin,amoxicillin/clavulanic acid,azithromycin,cefalexin,cefazolin,cefixime,cefovecin,cefpodoxime,ceftriaxone,chloramphenicol,clindamycin,doxycycline,enrofloxacin,fluconazole,fosfomycin,gentamicin,imipenem,marbofloxacin,metronidazole,minocycline,nitrofurantoin,piperacillin/tazobactam,polymyxin b,pradofloxacin,rifampicin,tetracycline,trimethoprim/sulfamethoxazole,vancomycin
582713330721933115,GN_427,5911347,2017-02-12,2017-02-12,female,cat,other,unknown,GN,acinetobacter ursingii,acinetobacter,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,อ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-02-20,5911347_20.02.2017_GN.docx,S,S,R,S,,S,I,I,R,,S,,R,S,S,,R,R,,,S,R,S,S,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-4098460350181189730,GN_829,5900643,2018-01-04,2018-01-04,male,dog,ub mucosa,unknown,GN,proteus mirabilis,proteus,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-01-15,5900643_15.01.2018_GN.docx,S,S,R,I,,S,S,S,R,,R,,S,,R,,R,R,,,,R,S,R,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-6063220713026622590,GN_2506,5811111,2020-01-14,2020-01-14,male,dog,urine,cystocentesis,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2020-01-17,5811111_17.01.2020_GN_2020.docx,S,R,R,R,R,R,R,R,R,R,R,-,R,S,R,R,S,,,R,,R,,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
-4265302860579232551,GN_1187,6109384,2018-06-28,2018-06-28,male,dog,bite wound,unknown,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-07-05,6109384_05.07.2018_GN.docx,S,S,R,S,,S,S,S,R,,I,-,S,S,S,,I,R,,,,R,S,S,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-3166573685211969815,GN_1422,6013925,2018-11-13,2018-11-13,male,dog,urine,cystocentesis,GN,burkholderia cepacia group,burkholderia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-11-16,6013925_16.11.2018_GN.docx,R,,,,,,,,R,,R,,R,R,S,,,R,,,,R,R,S,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-7874943081707106412,GN_2019,6205447,2019-04-29,2019-04-29,female,dog,abdominal cavity,unknown,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-05-08,6205447_08.05.2019_GN.docx,S,R,R,R,,R,R,I,S,,R,-,R,S,R,,S,R,,,,R,R,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-2316260253185556380,GN_580,6006986,2017-10-12,2017-10-12,male,dog,nasal cavity,unknown,GN,escherichia coli,escherichia,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-10-19,6006986_19.10.2017_GN_Rt.nasal cavity.docx,S,R,R,R,,R,R,R,S,,R,+,R,S,R,,S,R,,,,R,I,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-8815697959652239767,GN_1811,6110398,2019-11-01,2019-11-01,male,cat,ub mucosa,unknown,GN,escherichia coli,escherichia,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2019-11-07,6110398_07.11.2019_GN.docx,S,R,R,R,R,R,R,R,R,R,R,-,S,S,R,S,S,,,R,,R,,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-7859383656687204607,GN_1412,5901490,2018-11-23,2018-11-23,female,dog,exudate,unknown,GN,pseudomonas aeruginosa,pseudomonas,ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2018-11-29,5901490_29.11.2018_GN.docx,R,,,,,,,,,,R,,R,S,R,,,R,,,,,I,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-1905871163878028588,GN_737,6015519,2017-10-18,2017-10-18,male,dog,ub mucosa,unknown,GN,proteus mirabilis,proteus,อ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์,ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง,2017-10-25,6015519_25.10.2017_GN.docx,S,R,R,R,,R,R,R,R,,R,,S,,R,,R,R,,,,R,S,R,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
