id,hn,species,submitted_sample,collect_method,vitek_id,bact_species_1,bact_family,amikacin,amoxicillin/clavulanic acid,ampicillin,cefalexin,cefalotin,cefovecin,cefpodoxime,ceftiofur,chloramphenicol,doxycycline,enrofloxacin,esbl,gentamicin,imipenem,marbofloxacin,neomycin,nitrofurantoin,piperacillin,polymyxin b,pradofloxacin,rifampin,tetracycline,tobramycin,trimethoprim/sulfamethoxazole,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,ans_trimethoprim/sulfamethoxazole,ans_marbofloxacin,ans_cefovecin,ans_amoxicillin/clavulanic acid,ans_amikacin,ans_imipenem,ans_enrofloxacin,ans_cefalexin,ans_nitrofurantoin,ans_gentamicin,ans_doxycycline,ans_cefixime,ans_fosfomycin,ans_ceftriaxone,ans_piperacillin,ans_pradofloxacin,ans_metronidazole,ans_cefazolin,ans_colistin (polymyxin e),ans_tetracycline,ans_clindamycin,filename
0,5400033,dog,Bloody exudates from pedal furunculosis,Unk,GN,hafnia alvei,hafnia,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,,,,R,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
1,5501087,dog,ง่ามเท้าขาหน้าซ้าย,,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,S,S,R,S,,S,S,S,S,,S,-,S,S,S,,S,S,,,,S,S,S,amoxicillin/clavulanic acid,cefalexin,cefovecin,,,,,,,,,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
2,5501395,dog,urine,,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,R,R,R,R,,R,R,R,R,,R,-,R,S,R,,I,R,,,,R,R,R,imipenem,,,,,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
3,5501476,dog,nasal discharge,-,GN,unknown,unknown,S,S,R,S,,S,S,S,I,,S,-,S,S,S,,S,R,,,,S,S,S,cefalexin,cefovecin,doxycycline,,,,,,,,,,,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,
4,5501481,dog,Urine,catheterization,GN,klebsiella pneumoniae ssp pneumoniae,klebsiella,S,R,R,R,,R,R,R,S,,I,+,S,S,S,,S,R,,,,S,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
5,5501579,dog,Fluid from pleural effusion (Right side),,GN,aeromonas hydrophila,aeromonas,S,I,R,R,,S,S,S,S,,S,,S,S,S,,S,S,,,,,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
6,5501579,dog,Fluid from pleural effusion (Left side),,GN,aeromonas hydrophila,aeromonas,S,I,R,R,,S,S,S,S,,S,,S,S,S,,S,S,,,,,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
7,5502123,dog,Urine,Unk,GN,escherichia coli,escherichia,S,R,R,R,,R,R,R,R,,R,+,R,S,R,,S,R,,,,R,I,R,amikacin,nitrofurantoin,imipenem,,,,,,,,,,,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
8,5505669,dog,Ocular abscess,-,GN,unknown,unknown,,,,,,,,,R,,I,,I,,S,,R,,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
9,5505669,dog,Ocular abscess,-,GN,unknown,unknown,,,,,,,,,R,,I,,I,,S,,R,,S,,,R,S,R,marbofloxacin,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
