hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_minocycline,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_benzylpenicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefotaxime,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_ceftriaxone,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_esbl,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_inducible clindamycin resistance,S/I/R_levofloxacin,S/I/R_linezolid,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_moxifloxacin,S/I/R_mupirocin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_teicoplanin,S/I/R_tetracycline,S/I/R_tigecycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin
42800,2020-07-15,dog,urine,GN,klebsiella,2020-07-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,-,,,R,S,,,,R,,,,I,S,,,,R,,,R,,,R,
42801,2020-08-31,cat,screw,GN,sphingomonas,2020-09-03,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,,,,,,,,,,,,S,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,S,,,S,
42802,2021-03-23,dog,urine,GN,escherichia,2021-03-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,R,R,,R,,R,I,,+,,,S,S,,,,S,,,,S,S,,,,I,,,R,,,S,
42803,2020-09-17,dog,urine,GN,pseudomonas,2020-09-22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,R,,R,R,,,,,S,S,,,,R,,,,,,,,,,,,R,,,R,
42804,2020-06-30,dog,urine,GN,acinetobacter,2020-07-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,R,
42805,2020-09-14,cat,urine,GN,escherichia,2020-09-17,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42806,2021-03-29,cat,urine,GN,proteus,2021-04-02,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,S,S,,S,,S,S,,R,,R,R,,,,,S,I,,,,R,,,,S,R,,,,R,,,R,,,R,
42807,2020-06-30,cat,nasal discharge,GN,pseudomonas,2020-07-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,S,,,,,I,S,,,,S,,,,,,,,,,,,,,,,
42808,2021-05-13,dog,ear exudate,GN,proteus,2021-05-18,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,I,,S,,S,S,,S,,R,S,,,,,S,I,,,,S,,,,S,R,,,,S,,,R,,,R,
42809,2020-06-27,dog,urine,GN,escherichia,2020-07-02,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,S,R,,S,,S,S,,I,,S,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,S,,,R,
